695538  +0  -1--0---0
702655  +0  -1--0---0
941190  +0  -1--0---0
719275  +0  -1--0---0
705035  +0  -1--0---0
934492  +0  -1--0---0
776432  +0  -1--0---0
845872  +0  -1--0---0
625433  +0  -1--0---0
569374  +0  -1--0---0
592670  +0  -1--0---0
619606  +0  -1--0---0
442041  +0  -1--0---0
1121698  +0  -1--0---0
963417  +0  -1--0---0
1061353  +0  -1--0---0
943205  +0  -1--0---0
909269  +0  -1--0---0
883996  +0  -1--0---0
901493  +0  -1--0---0
727083  +0  -1--0---0
772271  +0  -1--0---0
649306  +0  -1--0---0
646745  +0  -1--0---0
712554  +0  -1--0---0
881151  +0  -1--0---0
719298  +0  -1--0---0
952069  +0  -1--0---0
504611  +0  -1--0---0
396417  +0  -1--0---0
481573  +0  -1--0---0
702019  +0  -1--0---0
809645  +0  -1--0---0
681553  +0  -1--0---0
672554  +0  -1--0---0
537517  +0  -1--0---0
831002  +0  -1--0---0
689066  +0  -1--0---0
870124  +0  -1--0---0
752843  +0  -1--0---0
650906  +0  -1--0---0
715049  +0  -1--0---0
794196  +0  -1--0---0
880102  +0  -1--0---0
828912  +0  -1--0---0
855304  +0  -1--0---0
893262  +0  -1--0---0
926685  +0  -1--0---0
490092  +0  -1--0---0
899086  +0  -1--0---0
612678  +0  -1--0---0
676167  +0  -1--0---0
529012  +0  -1--0---0
478282  +0  -1--0---0
793797  +0  -1--0---0
692036  +0  -1--0---0
613244  +0  -1--0---0
522168  +0  -1--0---0
791856  +0  -1--0---0
759367  +0  -1--0---0
927443  +0  -1--0---0
763393  +0  -1--0---0
855772  +0  -1--0---0
731400  +0  -1--0---0
707649  +0  -1--0---0
736468  +0  -1--0---0
761826  +0  -1--0---0
1008807  +0  -1--0---0
434398  +0  -1--0---0
505594  +0  -1--0---0
536399  +0  -1--0---0
429215  +0  -1--0---0
626713  +0  -1--0---0
906798  +0  -1--0---0
1085016  +0  -1--0---0
1231828  +0  -1--0---0
849888  +0  -1--0---0
874458  +0  -1--0---0
741710  +0  -1--0---0
1050076  +0  -1--0---0
753643  +0  -1--0---0
599635  +0  -1--0---0
790752  +0  -1--0---0
648648  +0  -1--0---0
770082  +0  -1--0---0
696771  +0  -1--0---0
996530  +1  -1--2---0
1092526  +1  -1--2---0
483789  +0  -1--0---0
469120  +0  -1--0---0
551212  +0  -1--0---0
555565  +0  -1--0---0
440476  +0  -1--0---0
641920  +0  -1--0---0
485890  +0  -1--0---0
814471  +0  -1--0---0
736020  +0  -1--0---0
739058  +0  -1--0---0
1107466  +1  -1--2---0
855459  +0  -1--0---0
687655  +0  -1--0---0
799607  +0  -1--0---0
726077  +0  -1--0---0
852692  +0  -1--0---0
620636  +0  -1--0---0
747229  +0  -1--0---0
730685  +0  -1--0---0
782546  +0  -1--0---0
429510  +0  -1--0---0
569720  +0  -1--0---0
502549  +0  -1--0---0
667494  +0  -1--0---0
563353  +0  -1--0---0
768707  +0  -1--0---0
492717  +0  -1--0---0
586610  +0  -1--0---0
888750  +0  -1--0---0
877728  +0  -1--0---0
925020  +0  -1--0---0
893756  +0  -1--0---0
774849  +0  -1--0---0
932971  +0  -1--0---0
852053  +0  -1--0---0
729194  +0  -1--0---0
731081  +0  -1--0---0
774501  +0  -1--0---0
960318  +0  -1--0---0
1186069  +1  -1--2---0
399527  +0  -1--0---0
554538  +0  -1--0---0
543651  +0  -1--0---0
634778  +0  -1--0---0
696472  +0  -1--0---0
547231  +0  -1--0---0
615710  +0  -1--0---0
450803  +0  -1--0---0
550737  +0  -1--0---0
746851  +0  -1--0---0
765248  +0  -1--0---0
786051  +0  -1--0---0
764410  +0  -1--0---0
718267  +0  -1--0---0
848971  +0  -1--0---0
584483  +0  -1--0---0
776055  +0  -1--0---0
623757  +0  -1--0---0
813851  +0  -1--0---0
678177  +0  -1--0---0
559151  +0  -1--0---0
360312  +0  -1--0---0
440404  +0  -1--0---0
390960  +0  -1--0---0
608991  +0  -1--0---0
674646  +0  -1--0---0
587851  +0  -1--0---0
528334  +0  -1--0---0
724797  +0  -1--0---0
602121  +0  -1--0---0
677229  +0  -1--0---0
774830  +0  -1--0---0
677324  +0  -1--0---0
782398  +0  -1--0---0
821964  +0  -1--0---0
756927  +0  -1--0---0
836844  +0  -1--0---0
715572  +0  -1--0---0
753430  +0  -1--0---0
799520  +0  -1--0---0
582380  +0  -1--0---0
571896  +0  -1--0---0
637063  +0  -1--0---0
666593  +0  -1--0---0
729875  +0  -1--0---0
609245  +0  -1--0---0
570627  +0  -1--0---0
695900  +0  -1--0---0
933109  +1  -1--2---0
846082  +0  -1--0---0
897904  +0  -1--0---0
831496  +0  -1--0---0
914918  +0  -1--0---0
828686  +0  -1--0---0
688547  +0  -1--0---0
696874  +0  -1--0---0
1037748  +0  -1--0---0
1081233  +0  -1--0---0
770674  +0  -1--0---0
948214  +0  -1--0---0
600865  +0  -1--0---0
376926  +0  -1--0---0
541532  +0  -1--0---0
570681  +0  -1--0---0
484816  +0  -1--0---0
616456  +0  -1--0---0
477035  +0  -1--0---0
836828  +0  -1--0---0
777367  +0  -1--0---0
1266923  +1  -1--2---0
739075  +0  -1--0---0
923642  +0  -1--0---0
795422  +0  -1--0---0
832560  +0  -1--0---0
1088146  +0  -1--0---0
1101281  +0  -1--0---0
833606  +0  -1--0---0
879729  +0  -1--0---0
1273300  +1  -1--2---0
1006063  +1  -1--2---0
576533  +0  -1--0---0
465524  +0  -1--0---0
583430  +0  -1--0---0
610885  +0  -1--0---0
517881  +0  -1--0---0
665302  +0  -1--0---0
594250  +0  -1--0---0
523613  +0  -1--0---0
483000  +0  -1--0---0
695461  +0  -1--0---0
818310  +0  -1--0---0
746615  +0  -1--0---0
876088  +0  -1--0---0
743544  +0  -1--0---0
892176  +0  -1--0---0
791895  +0  -1--0---0
644954  +0  -1--0---0
659636  +0  -1--0---0
706722  +0  -1--0---0
1104782  +1  -1--2---0
625229  +0  -1--0---0
448335  +0  -1--0---0
475020  +0  -1--0---0
551737  +0  -1--0---0
464553  +0  -1--0---0
571250  +0  -1--0---0
476226  +0  -1--0---0
813245  +0  -1--0---0
694622  +0  -1--0---0
719824  +0  -1--0---0
1000674  +0  -1--0---0
711670  +0  -1--0---0
808122  +0  -1--0---0
681419  +0  -1--0---0
847457  +0  -1--0---0
880638  +0  -1--0---0
543735  +0  -1--0---0
760561  +0  -1--0---0
616856  +0  -1--0---0
659373  +0  -1--0---0
603013  +0  -1--0---0
385565  +0  -1--0---0
373177  +0  -1--0---0
461238  +0  -1--0---0
621235  +0  -1--0---0
682846  +0  -1--0---0
761218  +0  -1--0---0
608201  +0  -1--0---0
753264  +0  -1--0---0
627196  +0  -1--0---0
693674  +0  -1--0---0
768636  +0  -1--0---0
758710  +0  -1--0---0
495539  +0  -1--0---0
970560  +0  -1--0---0
1021941  +0  -1--0---0
733514  +0  -1--0---0
767352  +0  -1--0---0
582332  +0  -1--0---0
1041056  +1  -1--2---0
1088685  +1  -1--2---0
502895  +0  -1--0---0
673768  +0  -1--0---0
706898  +0  -1--0---0
711946  +0  -1--0---0
693291  +0  -1--0---0
586176  +0  -1--0---0
693292  +0  -1--0---0
942348  +1  -1--2---0
844343  +0  -1--0---0
867400  +0  -1--0---0
918332  +0  -1--0---0
907299  +0  -1--0---0
905863  +0  -1--0---0
784961  +0  -1--0---0
1009219  +0  -1--0---0
867899  +0  -1--0---0
758967  +0  -1--0---0
553171  +0  -1--0---0
755008  +0  -1--0---0
819845  +0  -1--0---0
419426  +0  -1--0---0
491272  +0  -1--0---0
504701  +0  -1--0---0
535767  +0  -1--0---0
488606  +0  -1--0---0
419616  +0  -1--0---0
528345  +0  -1--0---0
629307  +0  -1--0---0
673270  +0  -1--0---0
699432  +0  -1--0---0
599941  +0  -1--0---0
761497  +0  -1--0---0
800277  +0  -1--0---0
1030058  +0  -1--0---0
672156  +0  -1--0---0
837074  +0  -1--0---0
530116  +0  -1--0---0
637115  +0  -1--0---0
596073  +0  -1--0---0
501644  +0  -1--0---0
436873  +0  -1--0---0
526482  +0  -1--0---0
574899  +0  -1--0---0
523660  +0  -1--0---0
456974  +0  -1--0---0
659182  +0  -1--0---0
592420  +0  -1--0---0
501325  +0  -1--0---0
794501  +0  -1--0---0
809455  +0  -1--0---0
863327  +0  -1--0---0
863850  +0  -1--0---0
862507  +0  -1--0---0
922182  +0  -1--0---0
749091  +0  -1--0---0
674717  +0  -1--0---0
855519  +1  -1--2---0
711469  +0  -1--0---0
703545  +0  -1--0---0
1050724  +1  -1--2---0
483719  +0  -1--0---0
561496  +0  -1--0---0
677559  +0  -1--0---0
676610  +0  -1--0---0
835025  +0  -1--0---0
655761  +0  -1--0---0
521465  +0  -1--0---0
926506  +0  -1--0---0
562289  +0  -1--0---0
656840  +0  -1--0---0
708677  +0  -1--0---0
980603  +1  -1--2---0
764700  +0  -1--0---0
795878  +0  -1--0---0
665467  +0  -1--0---0
559627  +0  -1--0---0
805443  +0  -1--0---0
918722  +0  -1--0---0
797444  +0  -1--0---0
875434  +0  -1--0---0
473659  +0  -1--0---0
483700  +0  -1--0---0
586598  +0  -1--0---0
588107  +0  -1--0---0
537069  +0  -1--0---0
570537  +0  -1--0---0
421440  +0  -1--0---0
814314  +0  -1--0---0
698007  +0  -1--0---0
687396  +0  -1--0---0
601138  +0  -1--0---0
792719  +0  -1--0---0
860457  +0  -1--0---0
590257  +0  -1--0---0
830248  +0  -1--0---0
